lr,hidden_sizes,dropout_rate,optimizer,scheduler,weight_decay,batch_size,best_val_loss,best_epoch
0.0005,"[128, 64]",0.2,Adam,,0.0001,64,7569.326685134497,12
0.0005,"[128, 64]",0.2,Adam,,0.001,32,7746.072710214079,15
0.0005,"[128, 64]",0.2,Adam,,0.001,64,7625.656917654309,9
0.0005,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.0001,32,7750.015422071506,11
0.0005,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.0001,64,7537.026883075246,18
0.0005,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.001,32,7800.231266314906,3
0.0005,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.001,64,7522.702997045769,28
0.0005,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.0001,32,7723.56485030679,5
0.0005,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.0001,64,7528.110185706151,14
0.0005,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.001,32,7742.664125518694,10
0.0005,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.001,64,7524.854751514662,18
0.0005,"[128, 64]",0.2,AdamW,,0.0001,32,7810.421464321262,4
0.0005,"[128, 64]",0.2,AdamW,,0.0001,64,7582.638610674343,20
0.0005,"[128, 64]",0.2,AdamW,,0.001,32,7846.876147082509,3
0.0005,"[128, 64]",0.2,AdamW,,0.001,64,7622.3878360325125,9
0.0005,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.0001,32,7804.4740940208085,9
0.0005,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.0001,64,7616.385269576938,9
0.0005,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.001,32,7733.720479130991,9
0.0005,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.001,64,7548.956913690197,18
0.0005,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.0001,32,7816.326179898076,4
0.0005,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.0001,64,7532.820861053127,12
0.0005,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.001,32,7792.7591786362,8
0.0005,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.001,64,7496.641498230813,30
0.0005,"[128, 64]",0.3,Adam,,0.0001,32,7820.067591629852,3
0.0005,"[128, 64]",0.3,Adam,,0.0001,64,7642.26200339135,18
0.0005,"[128, 64]",0.3,Adam,,0.001,32,7821.712649754865,6
0.0005,"[128, 64]",0.3,Adam,,0.001,64,7659.080670567911,12
0.0005,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.0001,32,7792.106393182266,13
0.0005,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.0001,64,7661.715282390936,8
0.0005,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.001,32,7801.173083836482,11
0.0005,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.001,64,7748.024415090086,6
0.0005,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.0001,32,7767.070255627062,13
0.0005,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.0001,64,7626.481796154108,13
0.0005,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.001,32,7834.003294322476,6
0.0005,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.001,64,7584.418438099952,14
0.0005,"[128, 64]",0.3,AdamW,,0.0001,32,7902.030292447843,4
0.0005,"[128, 64]",0.3,AdamW,,0.0001,64,7675.29803405784,9
0.0005,"[128, 64]",0.3,AdamW,,0.001,32,7805.412208991568,8
0.0005,"[128, 64]",0.3,AdamW,,0.001,64,7669.825765800638,11
0.0005,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.0001,32,7809.237076721475,8
0.0005,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.0001,64,7637.137022737635,10
0.0005,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.001,32,7775.874679887168,8
0.0005,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.001,64,7563.675374701367,22
0.0005,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.0001,32,7729.810624635602,13
0.0005,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.0001,64,7572.118766978884,20
0.0005,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.001,32,7851.174780045195,6
0.0005,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.001,64,7541.754046890967,19
0.0005,"[64, 32]",0.2,Adam,,0.0001,32,7835.117760023549,3
0.0005,"[64, 32]",0.2,Adam,,0.0001,64,7678.012274397423,12
0.0005,"[64, 32]",0.2,Adam,,0.001,32,7824.298324884468,8
0.0005,"[64, 32]",0.2,Adam,,0.001,64,7669.409798788365,11
0.0005,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.0001,32,7935.088033597797,3
0.0005,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.0001,64,7713.368549348004,7
0.0005,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.001,32,7907.562354063012,8
0.0005,"[64, 32]",0.2,Adam,CosineAnnealingLR,0.001,64,7691.647473624236,12
0.0005,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.0001,32,7789.16611356186,10
0.0005,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.0001,64,7645.801036941088,13
0.0005,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.001,32,7688.782218875365,18
0.0005,"[64, 32]",0.2,Adam,ReduceLROnPlateau,0.001,64,7582.42061472493,19
0.0005,"[64, 32]",0.2,AdamW,,0.0001,32,7819.902417953574,4
0.0005,"[64, 32]",0.2,AdamW,,0.0001,64,7639.847063945418,13
0.0005,"[64, 32]",0.2,AdamW,,0.001,32,7869.059838077725,9
